# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
7.5           	(0.000000e+00 3.083827e-08 0.000000e+00)	(0.000000e+00 3.083827e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 1.660906e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
7.6           	(0.000000e+00 3.222618e-08 0.000000e+00)	(0.000000e+00 3.222618e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 1.105851e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
7.7           	(0.000000e+00 3.304997e-08 0.000000e+00)	(0.000000e+00 3.304997e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 5.368685e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
7.8           	(0.000000e+00 3.329992e-08 0.000000e+00)	(0.000000e+00 3.329992e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.709693e-10 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
7.9           	(0.000000e+00 3.297578e-08 0.000000e+00)	(0.000000e+00 3.297578e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -6.066076e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
8             	(0.000000e+00 3.208670e-08 0.000000e+00)	(0.000000e+00 3.208670e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -1.163005e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
8.1           	(0.000000e+00 3.064977e-08 0.000000e+00)	(0.000000e+00 3.064977e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -1.698016e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
8.2           	(0.000000e+00 2.869067e-08 0.000000e+00)	(0.000000e+00 2.869067e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -2.203040e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
8.3           	(0.000000e+00 2.624369e-08 0.000000e+00)	(0.000000e+00 2.624369e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -2.670115e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
8.4           	(0.000000e+00 2.335044e-08 0.000000e+00)	(0.000000e+00 2.335044e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.091846e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
